iter	Passed	Remaining
0	15	15557
1	35	17477
2	59	19786
3	82	20454
4	102	20385
5	122	20275
6	142	20193
7	166	20591
8	185	20404
9	210	20846
10	229	20648
11	247	20402
12	265	20173
13	286	20187
14	309	20324
15	332	20430
16	356	20630
17	375	20480
18	393	20312
19	411	20187
20	432	20170
21	450	20023
22	470	19978
23	492	20023
24	511	19961
25	530	19879
26	550	19827
27	568	19739
28	586	19638
29	603	19525
30	624	19521
31	645	19538
32	665	19498
33	685	19482
34	704	19417
35	722	19352
36	741	19304
37	760	19256
38	778	19174
39	795	19091
40	813	19028
41	831	18969
42	849	18902
43	867	18858
44	885	18801
45	904	18766
46	922	18705
47	939	18639
48	958	18595
49	978	18585
50	996	18541
51	1014	18498
52	1033	18466
53	1052	18445
54	1072	18423
55	1091	18395
56	1114	18434
57	1133	18411
58	1156	18443
59	1175	18416
60	1194	18395
61	1211	18335
62	1228	18277
63	1248	18262
64	1267	18238
65	1288	18229
66	1306	18193
67	1325	18169
68	1344	18141
69	1364	18130
70	1385	18124
71	1404	18098
72	1423	18079
73	1443	18064
74	1464	18058
75	1485	18060
76	1506	18054
77	1526	18041
78	1546	18034
79	1565	18004
80	1585	17987
81	1603	17949
82	1621	17912
83	1642	17910
84	1659	17868
85	1686	17927
86	1709	17941
87	1730	17937
88	1751	17923
89	1785	18050
90	1810	18082
91	1832	18083
92	1853	18078
93	1873	18053
94	1893	18034
95	1914	18032
96	1936	18026
97	1958	18021
98	1976	17992
99	1995	17962
100	2015	17943
101	2036	17926
102	2055	17898
103	2073	17867
104	2094	17849
105	2114	17832
106	2134	17813
107	2154	17795
108	2174	17771
109	2193	17749
110	2214	17735
111	2234	17716
112	2254	17693
113	2274	17676
114	2294	17657
115	2314	17634
116	2334	17617
117	2352	17581
118	2373	17569
119	2392	17548
120	2412	17527
121	2432	17505
122	2451	17481
123	2469	17447
124	2487	17409
125	2506	17389
126	2527	17371
127	2548	17362
128	2567	17337
129	2585	17300
130	2602	17266
131	2621	17236
132	2640	17212
133	2658	17183
134	2678	17161
135	2699	17148
136	2719	17128
137	2737	17100
